,Release Date,Name,GPUs,GPU Hours,Power Consumption (W),tCO2eq,FLOPs*,assumed utilization*
Meta,18-Jul-23,llama-2-7B,A100-80GB,"184,320",400,31.22,1.60E+22,30%
,,llama-2-13B,A100-80GB,"368,640",400,62.44,3.10E+22,30%
,,llama-2-70B,A100-80GB,"1,720,320",400,291.42,1.40E+23,30%
Google,21-Feb-24,Gemma 7B,4096 TPUv5e,,,"~131, incl. 2B models",,
Cohere,11-Mar-24,Command-R,,,,,,
Databricks,27-Mar-24,DBRX,3072 H100s,,,,,
Mistral,17-Apr-24,8x22B,,,,,,
Meta,18-Apr-24,llama-3-8B,16k H100s,1.3M,700,390,2.40E+23,40%
,,llama-3-70B,16k H100s,6.4M,700,1900,1.20E+24,40%
Microsoft,22-Apr-24,Phi 3 mini,,,,,,
,,Phi 3 small,,,,,,
,,Phi 3 medium,,,,,,
Snowflake,24-Apr-24,Arctic,H100s,"~504,000",700,,7.10E+22,30%
DeepSeek,7-May-24,v2,H800s,"~172,800",700,,,
